SN2006ac        53781.38  0.30 CfA3,G10            0.02412 0.00104     0.230     0.062 16.82 0.12 17.03 0.11 16.55 0.17 22 15 16
SN2006ax        53826.98  0.14 CfA3,C10            0.01797 0.00107 -9999.    -9999.    15.82 0.01 15.92 0.17 15.87 0.08 19 15 16
SN2006cp        53896.76  0.14 CfA3,G10            0.02332 0.00105    -0.166     0.048 16.96 0.08 16.84 0.08 16.06 0.14  5  5  3
SN2006cz        53903.    3.   CfA3,CBET_550       0.04253 0.00102 -9999.    -9999.    17.63 0.06 17.61 0.28 17.17 0.30  4  2  1
SN2006gr        54012.07  0.15 CfA3,G10            0.03348 0.00097    -0.257     0.032 17.30 0.25 16.61 0.18 16.43 0.16  7  5  2
SN2006le        54047.36  0.14 CfA3,G10            0.01727 0.00099    -0.219     0.031 16.14 0.02 16.36 0.08 16.04 0.08 39 36 31
SN2006lf        54044.79  0.13 CfA3,G10            0.01297 0.00098     0.304     0.059 15.57 0.17 15.53 0.06 15.35 0.25 40 41 28
SN2006mq        54031.   10.   CBET_724,CBET_731   0.00405 0.00125 -9999.    -9999.    13.82 0.01 12.78 0.01 12.81 0.00 45 45 45
SN2007S         54143.25  0.17 CfA3,S11            0.01505 0.00108    -0.303     0.028 15.36 0.02 15.32 0.25 15.18 0.04 29 27 25
SN2007ca        54226.80  0.15 CfA3,S11,G10        0.01511 0.00107 -9999.    -9999.    15.92 0.25 15.77 0.07 15.47 0.18 18 18 10
SN2007co        54264.61  0.24 CfA3,G10            0.02657 0.00099    -0.035     0.046 17.89 0.17 17.57 0.18 16.50 0.22  7  6  5
SN2007cq        54280.50  0.25 CfA3,G10            0.02503 0.00095 -9999.    -9999.    16.40 0.04 16.70 0.19 15.29 0.25  6  6  6
SN2007fb        54287.    3.   CfA4,CBET_993       0.01681 0.00093     0.348     0.076 16.58 0.25 16.70 0.18 17.03 0.28  2  2  1
SN2007le        54398.83  0.14 CfA4,S11,G10        0.00551 0.00082    -0.111     0.033 13.76 0.02 13.91 0.01 13.76 0.18 35 31 25
SN2007nq        54396.94  0.47 CfA4,S11            0.04390 0.00098     0.361     0.063 18.84 0.17 18.36 0.06 17.76 0.19  3  2  3
SN2007qe        54428.87  0.15 CfA3,G10            0.02286 0.00095    -0.215     0.035 17.22 0.06 16.71 0.05 16.91 0.17  8  8  7
SN2007rx        54441.    3.   CfA4,CBET_1157      0.02890 0.00096    -0.249     0.080 17.10 0.07 16.56 0.06 16.45 0.08  5  5  5
SN2007sr        54447.92  0.51 CfA3,S08,G10        0.00665 0.00122    -0.083     0.040 14.06 0.02 13.44 0.03 13.39 0.03 30 32 32
SN2008C         54464.79  0.59 CfA4,S11,G10        0.01708 0.00103    -0.038     0.046 16.89 0.31 16.46 0.17 14.89 0.25  8  4 12
SN2008Z         54514.66  0.19 CfA4,G10            0.02183 0.00104    -0.176     0.038 16.45 0.03 16.55 0.18 16.16 0.10 45 44 32
SN2008af        54500.47  1.02 CfA3                0.03411 0.00102     0.275     0.092 18.16 0.25 17.24 0.25 17.01 0.25 23 31 21
SNF20080514-002 54611.55  0.42 G10                 0.02306 0.00104     0.275     0.068 16.51 0.11 16.61 0.12 16.47 0.18  9  9  8
SNF20080522-000 54621.28  0.48 CfA4                0.04817 0.00102    -0.137     0.075 18.06 0.17 17.17 0.25 16.79 0.30  4  3  1
SNF20080522-011 54617.    2.   CfA4                0.04026 0.00101    -0.141     0.053 18.68 0.08 17.59 0.12 17.24 0.18  8  9  2
SN2008fr        54732.    2.   CfA4                0.04793 0.00098    -0.126     0.046 17.72 0.05 18.18 0.32 16.68 0.17  5  6  6
SN2008fv        54749.80  0.20 CfA5,Bi12           0.00954 0.00102 -9999.    -9999.    14.91 0.25 14.98 0.25 14.84 0.25  3  3  3
SN2008fx        54729.    3.   CBET_1525           0.05814 0.00099 -9999.    -9999.    18.72 0.12 18.37 0.10 17.50 0.18  6  5  5
SN2008gb        54745.42  1.09 CfA4                0.03643 0.00098    -0.093     0.073 17.78 0.21 17.67 0.25 17.19 0.28 19 14 12
SN2008gl        54768.13  0.27 CfA4                0.03297 0.00097     0.311     0.081 17.14 0.17 17.08 0.18 16.45 0.17  9 12 10
SN2008hm        54804.33  0.41 CfA4                0.01918 0.00098    -0.122     0.052 16.36 0.03 16.48 0.21 16.06 0.18 26 22 23
SN2008hs        54812.64  0.15 CfA4                0.01664 0.00096     0.927     0.070 16.37 0.07 16.49 0.05 16.17 0.12 20 21 17
SN2008hv        54816.91  0.11 CfA4,S11            0.01359 0.00108     0.376     0.051 15.14 0.25 15.44 0.04 15.15 0.08 26 29 24
SN2008hy        54803.    5.   AAVSO_392,CBET_1610 0.00821 0.00097 -9999.    -9999.    15.67 0.03 14.72 0.02 14.68 0.06 27 23 20
SN2009D         54842.    2.   CfA4,CBET_1647      0.02467 0.00099    -0.106     0.058 16.31 0.01 16.78 0.25 16.29 0.25 27 24 19
SN2009Y         54875.89  0.48 CfA4                0.01007 0.00108    -0.116     0.051 16.52 0.22 16.93 0.25 16.98 0.25 11 15  3
SN2009ad        54886.05  0.24 CfA4                0.02834 0.00100 -9999.    -9999.    16.82 0.08 16.92 0.10 16.51 0.14 27 20 19
SN2009al        54896.41  0.31 CfA4                0.02329 0.00105 -9999.    -9999.    16.52 0.03 16.55 0.04 15.84 0.14 22 22 19
SN2009an        54898.21  0.24 CfA4                0.00954 0.00104     0.350     0.079 14.85 0.06 15.08 0.04 14.97 0.03 31 29 22
SN2009bv        54926.33  0.38 CfA4                0.03749 0.00102    -0.180     0.056 17.34 0.07 17.43 0.09 16.91 0.20 13 13  8
SN2009do        54945.    2.   CfA4,CBET_1778      0.04034 0.00102     0.079     0.072 18.12 0.13 17.84 0.18 16.64 0.25 14  9  5
SN2009ds        54960.50  0.38 CfA4                0.02045 0.00106    -0.120     0.056 16.22 0.23 16.20 0.17 15.29 0.25  6  6  3
SN2009fw        54993.    3.   CBET_1849           0.02739 0.00097 -9999.    -9999.    15.94 0.09 15.65 0.25 14.27 0.18  6  5  5
SN2009fv        54998.    3.   CfA4,CBET_1846      0.02937 0.00100     0.238     0.188 16.30 0.16 15.90 0.25 15.57 0.26  6  5  3
SN2009ig        55079.43  0.25 CfA4                0.00801 0.00091    -0.238     0.038 15.34 0.18 14.70 0.17 14.72 0.25 11  9  7
SN2009im        55074.    3.   CBET_1934           0.01256 0.00096 -9999.    -9999.    16.60 0.07 16.11 0.03 16.21 0.02  9 11  6
SN2009jr        55119.83  0.49 CfA4                0.01562 0.00094    -0.167     0.058 16.37 0.17 16.66 0.18 16.34 0.25 11 14 11
SN2009kk        55125.83  0.73 CfA4                0.01244 0.00097     0.237     0.069 15.72 0.05 15.96 0.06 15.33 0.18 17 17 16
SN2009kq        55154.61  0.35 CfA4                0.01236 0.00107    -0.030     0.052 15.47 0.18 15.38 0.04 15.27 0.17 10 11 11
SN2009le        55165.41  0.23 CfA4                0.01704 0.00096    -0.096     0.106 15.68 0.06 15.85 0.17 15.81 0.18  9  7  8
SN2009lf        55148.    2.   CfA4,CBET_2025      0.04409 0.00098     0.338     0.085 17.70 0.08 17.81 0.18 17.86 0.36 18 16  7
SN2009na        55201.31  0.28 CfA4                0.02202 0.00105     0.052     0.060 16.47 0.25 16.44 0.18 16.61 0.17 11 10  8
SN2010Y         55247.76  0.14 CfA4                0.01126 0.00103     0.826     0.063 15.23 0.02 15.20 0.18 15.82 0.23 15 10 12
PS1-10w         55248.01  0.11 R14                 0.03176 0.00102 -9999.    -9999.    17.00 0.06 17.34 0.17 17.35 0.34 10 10  5
PTF10bjs        55256.    3.   CfA4,ATEL_2453      0.03055 0.00102 -9999.    -9999.    16.95 0.06 17.09 0.07 16.48 0.17 11 12 10
SN2010ag        55270.23  0.63 CfA4                0.03376 0.00100    -0.249     0.051 17.13 0.01 17.14 0.26 16.50 0.25 15 15  9
SN2010ai        55276.84  0.13 CfA4                0.01927 0.00105     0.358     0.074 16.56 0.04 16.67 0.11 16.49 0.10 22 17 17
SN2010cr        55315.    3.   CfA4,ATEL_2580      0.02253 0.00104 -9999.    -9999.    16.65 0.01 17.24 0.17 16.80 0.17 15 12  8
SN2010dl        55341.    3.   CBET_2298           0.02892 0.00096 -9999.    -9999.    17.58 0.11 17.35 0.18 16.59 0.28  5  3  5
PTF10icb        55360.    3.   Pa11                0.00905 0.00105 -9999.    -9999.    14.63 0.02 14.80 0.17 14.58 0.25 12 12  7
SN2010dw        55357.75  0.65 CfA4                0.03870 0.00102    -0.146     0.088 17.78 0.05 17.55 0.25 16.66 0.25  6  6  4
SN2010ew        55379.    3.   CBET_2356           0.02504 0.00098 -9999.    -9999.    16.53 0.25 16.59 0.25 15.39 0.25  5  4  4
SN2010ex        55386.    3.   CBET_2353           0.02164 0.00095 -9999.    -9999.    17.06 0.11 16.79 0.23 16.10 0.17  2  2  2
SN2010gn        55399.    3.   CfA5,CBET_2386      0.03638 0.00100     0.023     0.099 16.85 0.18 17.42 0.23 17.09 0.37  3  3  2
SN2010iw        55492.    6.   CfA5,CBET_2511      0.02230 0.00104    -0.169     0.056 16.38 0.05 16.41 0.10 16.31 0.17 18 18 13
SN2010ju        55523.80  0.44 CfA5                0.01535 0.00101     0.054     0.110 15.83 0.02 15.84 0.06 15.32 0.18 21 20 19
SN2010jv        55516.    3.   CBET_2550           0.01395 0.00104 -9999.    -9999.    15.44 0.05 15.42 0.10 14.82 0.17  3  3  2
SN2010kg        55543.48  0.13 CfA5                0.01644 0.00099     0.281     0.069 15.76 0.07 15.86 0.11 15.71 0.17 25 27 12
SN2011B         55582.92  0.13 CfA5                0.00474 0.00101     0.142     0.054 13.21 0.17 13.33 0.18 13.34 0.18 46 43 37
SN2011K         55578.    3.   CfA5,CBET_2636      0.01438 0.00099    -0.138     0.076 15.54 0.01 15.63 0.09 15.59 0.28 16 16  8
SN2011ae        55619.    3.   CfA5                0.00724 0.00120    -0.235     0.063 13.69 0.02 13.70 0.03 13.65 0.25 32 32 26
SN2011ao        55638.26  0.15 CfA5                0.01162 0.00109    -0.157     0.037 14.83 0.03 14.99 0.03 14.95 0.08 28 29 16
SN2011at        55635.    5.   CfA5,CBET_2676      0.00787 0.00116     0.321     0.398 15.04 0.02 14.21 0.17 14.25 0.04 13 14 10
SN2011by        55690.60  0.15 CfA5                0.00341 0.00120    -0.007     0.046 13.17 0.14 13.37 0.03 13.55 0.18 28 27 13
SN2011df        55716.08  0.41 CfA5                0.01403 0.00096    -0.157     0.070 15.49 0.03 15.62 0.06 15.50 0.17 24 25 11
